Col1,Col2,Col3,Col4,Col5,Col6,Col7
"CELL FORMAT TEST DOCUMENT","","","","","",""
"","","","","","",""
"1 - FONT","","","","","",""
"","","","","","",""
"1.1 - FONT NAME AND SIZE","","","","","",""
"","Arial","Times NR","Courier New","","",""
"8","Arial","Times NR","Courier New","","",""
"10","Arial","Times NR","Courier New","","",""
"12","Arial","Times NR","Courier New","","",""
"","","","","","",""
"1.2 - FONT ATTRIBUTES","","","","","",""
"Bold","Italic","Strikeout","Subscript","Superscript","",""
"Bold","Italic","Strikeout","Subscript","Superscript","",""
"Single ul","Double ul","Single acc ul","Double acc ul","","",""
"Single","Double","Single Acc","Double Acc","","",""
"Red","Green","Blue","","","",""
"Red","Green","Blue","","","",""
"Richtext","","","","","",""
"Arial Courier 8point 14point bold italic strikeout subscript superscript underline red","","","","","",""
"Courier-14pt bold-italic strikeout-superscript underline-red","","","","","",""
"","","","","","",""
"1.3 - ESCAPEMENT AND LINE BREAKS","","","","","",""
"All","Line 1","Line 2","Line 1 Start","Line 1 End","Line 2 Start","Line 2 End"
"SubscriptSubscript","SubscriptText","TextSubscript","SubscriptTextText","TextSubscriptText","TextSubscriptText","TextTextSubscript"
"SuperscriptSuperscript","SuperscriptText","TextSuperscript","SuperscriptTextText","TextSuperscriptText","TextSuperscriptText","TextTextSuperscript"
"SubrscriptSuperscript","SubscriptSuperscriptText","TextSubscriptSuperscript","SubSuperTextText","TextSubSuperText","TextSubSuperText","TextTextSubSuper"
"","","","","","",""
"1.4 - SCRIPT TYPES","","","","","",""
"","Asian","","Complex","","",""
"Arial","Japanese ???","","Hebrew ?????","","",""
"Times NR","Japanese ???","","Hebrew ?????","","",""
"Courier New","Japanese ???","","Hebrew ?????","","",""

